[run number];1;2;3;4;5;6;7;8;9;10
N-HUMATS;100;100;100;100;100;100;100;100;100;100
initialization;random uniform;random uniform;random uniform;random uniform;random uniform;random uniform;random uniform;random uniform;random uniform;random uniform
allowed_contacts_per_day;1;2;3;4;5;6;7;8;9;10
;2694;2848;2957;3334;3623;3813;4011;3995;4131;4129
;2699;2854;2963;3343;3630;3823;4020;4008;4140;4139
;2706;2860;2971;3347;3642;3831;4030;4019;4149;4149
;2713;2865;2974;3356;3658;3836;4037;4028;4158;4158
;2725;2869;2981;3359;3666;3844;4043;4039;4163;4168
;2730;2873;2985;3365;3671;3851;4048;4053;4170;4178
;2735;2877;2992;3376;3678;3860;4060;4059;4185;4187
;2746;2883;2996;3383;3684;3867;4071;4071;4194;4199
;2751;2887;3003;3389;3687;3877;4077;4087;4204;4204
;2755;2892;3006;3396;3693;3887;4086;4097;4213;4213
;2760;2897;3011;3403;3706;3898;4098;4103;4224;4220
;2766;2904;3019;3411;3710;3906;4110;4111;4231;4229
;2771;2909;3021;3415;3720;3912;4118;4118;4242;4243
;2778;2920;3027;3421;3729;3921;4122;4124;4252;4254
;2783;2923;3036;3424;3732;3922;4133;4129;4261;4265
;2794;2937;3049;3432;3741;3934;4142;4143;4273;4277
;2800;2951;3055;3441;3751;3948;4157;4152;4283;4284
;2808;2961;3064;3450;3756;3961;4164;4161;4295;4292
;2821;2967;3073;3459;3764;3969;4176;4169;4306;4300
;2833;2979;3083;3464;3780;3979;4187;4177;4316;4305
;2841;2984;3088;3475;3786;3989;4200;4189;4329;4316
;2846;2992;3096;3481;3798;3995;4209;4204;4337;4322
;2850;2998;3105;3493;3815;4008;4222;4211;4353;4330
;2859;3004;3113;3501;3820;4019;4233;4222;4359;4343
;2868;3009;3126;3512;3827;4030;4245;4233;4367;4345
;2873;3016;3132;3524;3837;4038;4248;4243;4375;4356
;2885;3019;3139;3536;3852;4049;4261;4252;4389;4363
;2892;3025;3140;3544;3864;4052;4269;4264;4403;4377
;2898;3031;3145;3559;3875;4061;4280;4275;4413;4386
;2901;3035;3148;3567;3882;4067;4291;4282;4427;4394
;2906;3041;3156;3574;3891;4074;4300;4292;4437;4406
;2911;3047;3159;3581;3900;4082;4313;4303;4442;4419
;2920;3052;3167;3589;3905;4086;4323;4316;4452;4430
;2929;3062;3172;3598;3911;4099;4336;4323;4463;4438
;2933;3069;3176;3604;3919;4112;4344;4333;4475;4449
;2936;3074;3182;3608;3924;4121;4351;4341;4485;4461
;2944;3078;3188;3612;3931;4132;4358;4352;4491;4472
;2950;3080;3195;3617;3936;4141;4372;4358;4499;4480
;2958;3084;3200;3624;3948;4151;4381;4364;4510;4494
;2961;3093;3212;3631;3959;4167;4393;4372;4521;4505
;2968;3105;3221;3636;3969;4176;4404;4383;4532;4515
;2984;3111;3228;3649;3984;4186;4417;4391;4541;4528
;2994;3118;3242;3656;3997;4194;4425;4397;4549;4543
;2999;3124;3253;3667;4001;4205;4436;4404;4558;4551
;3006;3136;3262;3675;4004;4217;4443;4409;4565;4559
;3018;3144;3274;3683;4015;4225;4451;4415;4576;4567
;3026;3153;3286;3687;4023;4234;4464;4423;4586;4577
;3032;3166;3290;3696;4036;4239;4475;4433;4595;4583
;3039;3173;3298;3709;4046;4251;4483;4443;4608;4590
;3052;3185;3308;3718;4059;4263;4490;4454;4621;4597
;3059;3193;3317;3725;4069;4276;4500;4464;4628;4608
;3070;3204;3322;3737;4078;4285;4509;4477;4641;4614
;3078;3206;3329;3746;4088;4297;4517;4490;4650;4620
;3087;3213;3334;3754;4097;4306;4525;4500;4658;4630
;3097;3221;3340;3770;4102;4314;4532;4510;4670;4645
