BehaviorSpace results (NetLogo 6.2.0)
HUMAT_COVID_visitors_measure_FINAL.nlogo
importances_sweep
12/14/2021 14:24:46:706 +0100
"min-pxcor,""max-pxcor"",""min-pycor"",""max-pycor"""
"-45,""45"",""-45"",""45"""
"[run number],""N-HUMATS"",""experiential-importance-parameter"",""values-importance-parameter"",""min_attraction_dif"",""initialization"",""repulsion_dif"",""stop-at-day-hundred?"",""dilemma_threshold"",""adhere-to-rule-effect"",""extra_exp_satisfaction_per_hour"",""inquiry-opinion-change"",""break-the-rule-effect"",""parametrize-importances?"",""social-influence-per-tick"",""repulsion?"",""no_contact_accept_probability"",""max_attraction_dif"",""values_satisfaction_opinion_contribution"",""inquiry_probability"",""make_contact_probability"",""allowed_contacts_per_day"",""[step]"",""average_contacts_per_day_per_humat"",""average_dilemmas_per_day_per_humat"",""average_opinion_sd_over_time"",""average_opinion_mean_over_time"""
"57,""100"",""0.6"",""0"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""6"",""2400"",""2.2415151515151517"",""0.28575757575757577"",""18.131686746052416"",""58.48020202020199"""
"61,""100"",""0.6"",""0.4"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""2"",""2400"",""1.7723232323232323"",""0.23535353535353537"",""20.858502810842264"",""42.40070707070705"""
"60,""100"",""0.6"",""0.2"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""6"",""2400"",""2.237979797979798"",""0.15484848484848485"",""16.75944003426389"",""54.791010101010095"""
"62,""100"",""0.6"",""0.4"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""4"",""2400"",""1.9192929292929293"",""0.18383838383838383"",""18.03643245271252"",""51.267171717171706"""
"64,""100"",""0.6"",""0.6"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""2"",""2400"",""1.764949494949495"",""0.182020202020202"",""16.560411565451997"",""38.44242424242423"""
"63,""100"",""0.6"",""0.4"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""6"",""2400"",""2.213838383838384"",""0.19696969696969696"",""16.712255070250617"",""57.7410101010101"""
"67,""100"",""0.6"",""0.8"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""2"",""2400"",""1.7121212121212122"",""0.16373737373737374"",""17.045331170313236"",""37.08262626262627"""
"65,""100"",""0.6"",""0.6"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""4"",""2400"",""1.995252525252525"",""0.17"",""16.87767248258222"",""46.857979797979795"""
"68,""100"",""0.6"",""0.8"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""4"",""2400"",""1.9422222222222223"",""0.14323232323232324"",""17.509132252370144"",""50.184444444444466"""
"70,""100"",""0.6"",""1"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""2"",""2400"",""1.6793939393939394"",""0.14929292929292928"",""16.932451684027956"",""44.522727272727266"""
