"BehaviorSpace results (NetLogo 6.2.0)"
"HUMAT_COVID_visitors_measure_FINAL.nlogo"
"importances_sweep_final_values"
"12/15/2021 12:09:41:654 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-45","45","-45","45"
"[run number]","N-HUMATS","experiential-importance-parameter","values-importance-parameter","min_attraction_dif","initialization","repulsion_dif","stop-at-day-hundred?","dilemma_threshold","adhere-to-rule-effect","extra_exp_satisfaction_per_hour","inquiry-opinion-change","break-the-rule-effect","parametrize-importances?","social-influence-per-tick","repulsion?","no_contact_accept_probability","max_attraction_dif","values_satisfaction_opinion_contribution","inquiry_probability","make_contact_probability","allowed_contacts_per_day","[step]","mean [n_contacts_this_day] of HUMATS","percentage_in_dilemma * 100","standard-deviation [opinion_measure] of HUMATS","mean [opinion_measure] of HUMATS"
"69","100","0.6","0.8","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","6","2400","4.94","9","13.662689739179868","62.24"
"71","100","0.6","1","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","4","2400","4.1","10","12.531540007097885","49.53"
"73","100","0.8","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","3.48","20","15.55612516994609","37.37"
"74","100","0.8","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","4","2400","4.42","20","17.14318488142702","57.01"
"72","100","0.6","1","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","6","2400","4.52","17","14.787054125043625","65.64"
"76","100","0.8","0.2","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","4.02","25","17.213369833071646","36.27"
"75","100","0.8","0","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","6","2400","4.12","17","14.98460826476571","61.87"
"77","100","0.8","0.2","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","4","2400","4","12","13.987479971731716","48.63"
"79","100","0.8","0.4","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","3.54","15","14.461498867508496","32.42"
"80","100","0.8","0.4","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","4","2400","3.98","18","14.892761444216562","53.06"
"78","100","0.8","0.2","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","6","2400","4.88","22","13.835319317097838","60.59"
"82","100","0.8","0.6","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","3.64","24","14.117114765168175","33.4"
"83","100","0.8","0.6","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","4","2400","3.58","11","14.943567245480642","57.73"
"81","100","0.8","0.4","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","6","2400","3.96","18","16.874495128998255","61.33"
"85","100","0.8","0.8","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","2","2400","3.18","18","15.95845616694557","38.12"
"84","100","0.8","0.6","25","random uniform","50","true","0.05","0.04","0.01","0.2","0.02","true","0.001","true","20","50","0.5","1","10","6","2400","4.56","17","14.919568872911022","65.18"
